Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20180125T102729_20180125T102757_020310_022AEC_5B5D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180125T102729_20180125T102757_020310_022AEC_5B5D.zip,S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5.zip,6,24
S1A_IW_SLC__1SDV_20180125T102729_20180125T102757_020310_022AEC_5B5D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180125T102729_20180125T102757_020310_022AEC_5B5D.zip,S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,10,36
S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E.zip,S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5.zip,27,12
S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E.zip,S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,43,24
S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T102729_20180206T102757_020485_023082_B67E.zip,S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,70,36
S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5.zip,S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,16,12
S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5.zip,S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,43,24
S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180218T102729_20180218T102757_020660_023618_3ED5.zip,S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,38,36
S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,27,12
S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,22,24
S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180302T102729_20180302T102757_020835_023BA4_F4D1.zip,S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,11,36
S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,5,12
S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,16,24
S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180314T102729_20180314T102757_021010_024132_7BB0.zip,S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,4,36
S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,11,12
S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,9,24
S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180326T102729_20180326T102757_021185_0246C1_8B14.zip,S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,28,36
S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,20,12
S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,39,24
S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180407T102730_20180407T102757_021360_024C3C_427A.zip,S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,61,36
S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,19,12
S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,81,24
S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180419T102730_20180419T102758_021535_0251B1_9A88.zip,S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,114,36
S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,100,12
S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,133,24
S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180501T102731_20180501T102758_021710_025733_398E.zip,S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,59,36
S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,33,12
S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,41,24
S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180513T102731_20180513T102759_021885_025CCD_C760.zip,S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,57,36
S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,74,12
S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,90,24
S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180525T102732_20180525T102800_022060_026257_8721.zip,S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,134,36
S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,16,12
S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,60,24
S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180606T102733_20180606T102800_022235_0267D7_9F2C.zip,S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,69,36
S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,44,12
S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,53,24
S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180618T102733_20180618T102801_022410_026D3D_D7A1.zip,S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,13,36
S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,9,12
S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,57,24
S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180630T102734_20180630T102802_022585_027255_5071.zip,S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,69,36
S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,66,12
S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,78,24
S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180712T102735_20180712T102803_022760_027786_14CB.zip,S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,121,36
S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,12,12
S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,55,24
S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180724T102735_20180724T102803_022935_027D09_2CCD.zip,S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,34,36
S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,43,12
S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,22,24
S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180805T102736_20180805T102804_023110_02827F_343B.zip,S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,46,36
S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,21,12
S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,89,24
S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180817T102737_20180817T102805_023285_02882C_EDE1.zip,S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,72,36
S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,68,12
S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,51,24
S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180829T102738_20180829T102806_023460_028DBA_2E8B.zip,S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53.zip,48,36
S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,17,12
S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53.zip,20,24
S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180910T102738_20180910T102806_023635_029356_42BD.zip,S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F.zip,136,36
S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53.zip,3,12
S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F.zip,119,24
S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180922T102738_20180922T102806_023810_029906_C557.zip,S1A_IW_SLC__1SDV_20181028T102739_20181028T102807_024335_02AA14_F26C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181028T102739_20181028T102807_024335_02AA14_F26C.zip,24,36
S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181004T102738_20181004T102806_023985_029EBE_5E53.zip,S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181016T102739_20181016T102807_024160_02A470_270F.zip,116,12
