Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20160124T102706_20160124T102733_009635_00E09A_731C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160124T102706_20160124T102733_009635_00E09A_731C.zip,S1A_IW_SLC__1SDV_20160217T102706_20160217T102733_009985_00EACC_5C17,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160217T102706_20160217T102733_009985_00EACC_5C17.zip,71,24
S1A_IW_SLC__1SDV_20160217T102706_20160217T102733_009985_00EACC_5C17,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160217T102706_20160217T102733_009985_00EACC_5C17.zip,S1A_IW_SLC__1SDV_20160312T102706_20160312T102733_010335_00F4DB_3F85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160312T102706_20160312T102733_010335_00F4DB_3F85.zip,6,24
S1A_IW_SLC__1SDV_20160312T102706_20160312T102733_010335_00F4DB_3F85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160312T102706_20160312T102733_010335_00F4DB_3F85.zip,S1A_IW_SLC__1SDV_20160405T102707_20160405T102733_010685_00FED5_753B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160405T102707_20160405T102733_010685_00FED5_753B.zip,14,24
S1A_IW_SLC__1SDV_20160405T102707_20160405T102733_010685_00FED5_753B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160405T102707_20160405T102733_010685_00FED5_753B.zip,S1A_IW_SLC__1SDV_20160429T102708_20160429T102734_011035_01098C_C45F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160429T102708_20160429T102734_011035_01098C_C45F.zip,4,24
S1A_IW_SLC__1SDV_20160429T102708_20160429T102734_011035_01098C_C45F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160429T102708_20160429T102734_011035_01098C_C45F.zip,S1A_IW_SLC__1SDV_20160523T102709_20160523T102736_011385_0114CC_D3BB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160523T102709_20160523T102736_011385_0114CC_D3BB.zip,66,24
S1A_IW_SLC__1SDV_20160722T102712_20160722T102739_012260_0130D0_8343,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160722T102712_20160722T102739_012260_0130D0_8343.zip,S1A_IW_SLC__1SDV_20160803T102713_20160803T102740_012435_0136A4_3625,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160803T102713_20160803T102740_012435_0136A4_3625.zip,69,12
S1A_IW_SLC__1SDV_20160722T102712_20160722T102739_012260_0130D0_8343,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160722T102712_20160722T102739_012260_0130D0_8343.zip,S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6.zip,91,36
S1A_IW_SLC__1SDV_20160803T102713_20160803T102740_012435_0136A4_3625,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160803T102713_20160803T102740_012435_0136A4_3625.zip,S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6.zip,22,24
S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160827T102714_20160827T102741_012785_01424D_D8F6.zip,S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85.zip,77,36
S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85.zip,S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D.zip,1,12
